model,learning_rate,batch_size,epochs,final_loss
resnet18,0.001,16,3,4.107739044911796e-07
resnet50,0.001,16,3,0.0
efficientnet,0.001,16,3,1.1045257936359576e-05
resnet18,0.001,16,3,1.0053297160084184e-06
resnet50,0.001,16,3,0.0
efficientnet,0.001,16,3,1.7812008033502023e-05
resnet18,0.001,16,3,1.028179827500253e-07
resnet50,0.001,16,3,0.0
resnet18,0.001,16,3,3.3527584122339247e-07
resnet50,0.001,16,3,0.0
efficientnet,0.001,16,3,2.2005181295980947e-05
resnet18,0.001,16,1,0.1541069923347095
resnet18,0.001,16,3,3.059699494656343e-07
resnet50,0.001,16,3,1.4901160305669237e-09
efficientnet,0.001,16,3,3.175386136717861e-05
